id,category,status,metric,value,evidence,next_action
terminal_policy_current,terminal_policy,pass,current_policy,policy_D_exclude_plus_messenger_fusion:D: exclude + LLR+MESSENGER,reject -> watch,keep_active_policy_until_gates_change
cross_consistency_gate,cross_channel,pass,abs_z(beta_vlbi-beta_llr),13.391977394202545,reject,require_independent_vlbi_or_llr_extension
policy_b_hold_governance,policy_governance,watch,policy_B_hold_status,watch,"{'vlbi_subset_refit_ineligible': 'pass', 'policy_b_available': 'pass', 'active_policy_is_b': 'pass', 'policy_d_not_ready': 'watch'}",recompute_policy_selection_inputs
llr_gate_execution_order,policy_governance,pass,llr_gate_execution_order,,actions=,keep_llr_gate_order_frozen
llr_gate_repro_min_chain,policy_governance,pass,llr_gate_repro_commands_min,python -B scripts/llr/llr_kappa_llr_direct_fit.py | python -B scripts/llr/llr_kappa_llr_beta_promotion_gate.py | python -B scripts/summary/beta_cross_channel_registry.py | python -B scripts/summary/beta_terminal_reject_checklist.py,n=4,run_llr_gate_chain_in_order
policy_d_promotion_governance,policy_governance,pass,policy_D_promotion_status,pass,"ready=True, blockers=",policy_D_promotion_ready_use_llr_messenger_fusion
policy_d_promotion_reassessment,policy_governance,pass,policy_D_reassessment_status,pass,"order_match=True, count_delta=0, policy_alignment=True",keep_policy_D_reassessment_snapshot
policy_d_blocker_resolution_order,policy_governance,pass,policy_D_blocker_resolution_order,,"top=, action=",resolve_policy_D_promotion_blockers
policy_recommended_active_policy,policy_governance,pass,recommended_active_policy_id,policy_D_exclude_plus_messenger_fusion,policy_D_promotion_ready=true -> allow llr+messenger fusion promotion,active_policy_aligned_with_governance
policy_switch_redecision,policy_governance,pass,policy_switch_decision_id,switch_to_policy_D_now,"switch_required_now=True, switch_allowed_now=True, hold_reason=",switch_policy_B_to_policy_D_now
policy_terminal_watch_statement,policy_governance,pass,policy_terminal_watch_statement_id,watch_resolved_policy_alignment_completed,beta_terminal=watch; policy alignment to governance recommendation is completed.,keep_canonical_watch_statement_until_policy_D_ready
active_policy_update_decision,terminal_policy,pass,active_policy_update_required,False,"active=policy_D_exclude_plus_messenger_fusion, recommended=policy_D_exclude_plus_messenger_fusion",keep_active_policy_as_recommended
vlbi_comparator_eligibility,vlbi,reject,comparator_eligible,False,subset_consistency_reject,keep_comparator_ineligible
vlbi_allsky_session_consistency,vlbi,reject,allsky_chi2_dof,271.8600478275981,n_valid=53,expand_high_sensitivity_sessions
vlbi_source_session_proxy,vlbi,reject,source_session_chi2_dof,171.39375448124795,rows=206,split_corona_vs_structure_systematics
vlbi_near_sun_source_0235,vlbi_source,reject,0235+164_chi2_dof,7.515538464773124,near_sun_target,require_multiband_corona_control
vlbi_near_sun_source_0229,vlbi_source,reject,0229+131_chi2_dof,22.009536736872874,near_sun_target,require_multiband_corona_control
vlbi_far_source_reference,vlbi_source,pass,0955+476_chi2_dof,0.5133178981393014,far_source_reference,keep_as_structure_stability_reference
policy_d_llr_messenger_pair_z,policy_d_pair,pass,abs_z(beta_llr-beta_messenger),0.042170581445497804,"policy_D fusion pair gate (watch=pass, pass=pass)",maintain_pair_gate_and_focus_bias_audit
policy_d_pair_delta_gap,policy_d_pair,pass,abs_delta_vs_watch_threshold,-2.9092855797210655,"abs_delta=0.04147847868380339, watch_limit=2.950764058404869",pair_gate_pass_keep_bias_as_remaining_gate
policy_d_messenger_watch_band,policy_d_pair,pass,required_messenger_beta_watch_range,"[-1.9500897604601204, 3.9514383563496174]",current_beta_messenger=1.0421527766285519,watch_band_satisfied_focus_bias_and_policy_governance
messenger_stage_i_odf_decomposition,messenger_diagnostic,reject,odf_abs_z_baseline_to_best,2.548230922407596,"baseline=14.435709175838632, best=11.887478253431036, max_shift_z=2.637280137935102",prioritize_plasma_transponder_nuisance_control_for_odf
messenger_stage_i_tnf_decomposition,messenger_diagnostic,watch,tnf_abs_z_baseline_to_best,1.1396261487381834,"baseline=2.7112835599445715, best=1.5716574112063881, max_shift_z=3.110946467252994",keep_tnf_replay_stable_while_aligning_odf_primary
messenger_stage_i_nuisance_priority_top1,messenger_diagnostic,pass,top_nuisance_scenario,transponder_quad_on,"group=transponder_drift, max_abs_z_delta=3.110946467252994",prioritize_transponder_drift_model_upgrade
messenger_stage_i_srp_proxy_registration,messenger_diagnostic,pass,srp_proxy_registered,True,"explicit_srp_proxy_registered_in_stage_i_policy; scenarios=all_proxies_on,srp_proxy_on",calibrate_srp_proxy_against_spacecraft_force_model
llr_beta_minus_1,llr,pass,abs_z(beta_llr-1),0.7019830114129517,station_target_year|template_decontaminated,maintain_decontaminated_pipeline
llr_bias_audit,llr,pass,bias_audit_status,pass,pass,continue_station_target_hardware_balance
messenger_stage_j_final_gate,messenger,pass,stage_j_status,pass,stage_j_pass+stage_e_replay_pass+stage_d_data_pass,keep_stage_j_pass_while_expanding_years
messenger_replay_consistency,messenger,pass,abs_z(beta_tnf-beta_odf),1.9571653261565023,pass,maintain_replay_gate_under_kernel_updates
messenger_bias_audit,messenger,pass,bias_audit_status,pass,"stage_i_core=baseline,station_bias_lowcap,station_bias_highcap,sunq_proxy_on | stage_i_diag=transponder_quad_on,plasma_proxy_on,srp_proxy_on,all_proxies_on | stage_i_top_nuisance=transponder_quad_on | stage_h_required={'odf': ['station', 'link_type'], 'tnf': ['station']} | stage_h_diag={'odf': ['campaign'], 'tnf': ['link_type', 'campaign']}",keep_core_policy_pass_and_track_diagnostic_scenarios
messenger_beta_lt_minus_1_primary,messenger,pass,abs_z(beta_lt-1),0.042856151046319846,beta_primary_definition=beta_lt,keep_beta_lt_as_primary_beta_channel
messenger_beta_dyn_diagnostic,messenger_diagnostic,reject,abs_z(beta_dyn-1),14.042789351037346,non_gravitational_acceleration_sensitive_diagnostic,treat_beta_dyn_as_nongrav_model_deficit_indicator
next_primary_data_vlbi,next_data,watch,primary_data_requirement,vgos_or_ka_multiband_near_far_pair,corona_residual_plus_source_structure,add_high_sensitivity_sessions_with_multiband_control
next_primary_data_llr,next_data,watch,primary_data_requirement,independent_llr_channel_expansion,llr_bias_audit_not_pass,add_balanced_station_hardware_and_independent_templates
