row_no,topic,observable,dataset_or_experiment,row_label,part4_section,present_in_part4_label_block
1,LLR（月レーザー測距）,"残差RMS（中央値, station×reflector）",,"LLR（月レーザー測距）｜残差RMS（中央値, station×reflector）",\ref{sec:p4:llr-time-tag-s4},1
2,LLR（月レーザー測距：NGLR-1）,"残差RMS（中央値, station×NGLR-1）",,"LLR（月レーザー測距：NGLR-1）｜残差RMS（中央値, station×NGLR-1）",\ref{sec:p4:llr-time-tag-s4},1
3,Cassini（太陽会合）,ドップラー y(t)（観測 vs P-model）,,Cassini（太陽会合）｜ドップラー y(t)（観測 vs P-model）,\ref{sec:p4:cassini-viking-mercury-gps-llr-public-pack-s6},1
4,Viking（太陽会合）,往復Shapiro遅延ピーク,,Viking（太陽会合）｜往復Shapiro遅延ピーク,\ref{sec:p4:cassini-viking-mercury-gps-llr-public-pack-s6},1
5,Mercury（近日点移動）,近日点移動（角秒/世紀）,,Mercury（近日点移動）｜近日点移動（角秒/世紀）,\ref{sec:p4:cassini-viking-mercury-gps-llr-public-pack-s6},1
6,GPS（衛星時計）,"残差RMS（中央値, 衛星ごと）",,"GPS（衛星時計）｜残差RMS（中央値, 衛星ごと）",\ref{sec:p4:cassini-viking-mercury-gps-llr-public-pack-s6},1
7,光偏向（太陽）,公表推定値 γ*（PPN）,,光偏向（太陽）｜公表推定値 γ*（PPN）,\ref{sec:p4:cassini-viking-mercury-gps-llr-public-pack-s6},1
8,重力赤方偏移,公表偏差 ε*（弱場比較）,GP-A (1976),重力赤方偏移｜公表偏差 ε*（弱場比較）｜GP-A (1976),\ref{sec:p4:cassini-viking-mercury-gps-llr-public-pack-s6},1
9,重力赤方偏移,公表偏差 ε*（弱場比較）,Galileo 5/6 (2018),重力赤方偏移｜公表偏差 ε*（弱場比較）｜Galileo 5/6 (2018),\ref{sec:p4:cassini-viking-mercury-gps-llr-public-pack-s6},1
10,宇宙論（距離二重性）,η^(P)(z=1)（D_L/((1+z)D_A)）,,宇宙論（距離二重性）｜η^(P)(z=1)（D_L/((1+z)D_A)）,\ref{sec:p4:cosmo-ddr-s5},1
11,宇宙論（Tolman表面輝度）,指数 n（SB ∝ (1+z)^-n）,R band (2001),宇宙論（Tolman表面輝度）｜指数 n（SB ∝ (1+z)^-n）｜R band (2001),\ref{sec:p4:bao-sn-cmb-ap-s8},1
12,宇宙論（Tolman表面輝度）,指数 n（SB ∝ (1+z)^-n）,I band (2001),宇宙論（Tolman表面輝度）｜指数 n（SB ∝ (1+z)^-n）｜I band (2001),\ref{sec:p4:bao-sn-cmb-ap-s8},1
13,宇宙論（独立プローブ）,SN time dilation（p_t）,,宇宙論（独立プローブ）｜SN time dilation（p_t）,\ref{sec:p4:bao-sn-cmb-ap-s8},1
14,宇宙論（独立プローブ）,CMB温度スケーリング（p_T）,,宇宙論（独立プローブ）｜CMB温度スケーリング（p_T）,\ref{sec:p4:bao-sn-cmb-ap-s8},1
15,JWST/MAST（スペクトル一次データ）,x1d→z（線同定；距離指標非依存）,,JWST/MAST（スペクトル一次データ）｜x1d→z（線同定；距離指標非依存）,\ref{sec:p4:bao-sn-cmb-ap-s8},1
16,XRISM（BH/AGN）,Fe-K吸収線→v/c（SRドップラー）,,XRISM（BH/AGN）｜Fe-K吸収線→v/c（SRドップラー）,\ref{sec:p4:eht-s9},1
17,XRISM（銀河団）,Fe-K輝線→z_xray（距離指標非依存）/ σ_v（線幅）,,XRISM（銀河団）｜Fe-K輝線→z_xray（距離指標非依存）/ σ_v（線幅）,\ref{sec:p4:eht-s9},1
18,宇宙論（CMB偏極位相）,"TT/EE/TE 音響位相差（Δϕ_EE, Δϕ_TE）",,"宇宙論（CMB偏極位相）｜TT/EE/TE 音響位相差（Δϕ_EE, Δϕ_TE）",\ref{sec:p4:bao-sn-cmb-ap-s8},1
19,宇宙論（CMB音響ピーク）,"TT音響ピーク（1〜3逆同定, 4〜6 holdout）",,"宇宙論（CMB音響ピーク）｜TT音響ピーク（1〜3逆同定, 4〜6 holdout）",\ref{sec:p4:bao-sn-cmb-ap-s8},1
20,宇宙論（構造形成 fσ8）,成長率 fσ8（遅延枝の実効摩擦 Γ_eff）,,宇宙論（構造形成 fσ8）｜成長率 fσ8（遅延枝の実効摩擦 Γ_eff）,\ref{sec:p4:bao-sn-cmb-ap-s8},1
21,宇宙論（Pantheon+ Hubble図）,Pantheon+ μ(z) + CC H(z) 直接fit（H_eff^2 完全式）,,宇宙論（Pantheon+ Hubble図）｜Pantheon+ μ(z) + CC H(z) 直接fit（H_eff^2 完全式）,\ref{sec:p4:bao-sn-cmb-ap-s8},1
22,宇宙論（銀河団衝突オフセット）,レンズ中心−ガス中心オフセット（Bullet系）,,宇宙論（銀河団衝突オフセット）｜レンズ中心−ガス中心オフセット（Bullet系）,\ref{sec:p4:cosmo-ddr-s5},1
23,回転（フレームドラッグ）,R_drag=abs(Ω_obs)/abs(Ω_pred),GP-B (2011),回転（フレームドラッグ）｜R_drag=abs(Ω_obs)/abs(Ω_pred)｜GP-B (2011),\ref{sec:p4:part-i-s7} / \ref{sec:p4:eht-s9},1
24,回転（フレームドラッグ）,R_drag=abs(Ω_obs)/abs(Ω_pred),LAGEOS (2004),回転（フレームドラッグ）｜R_drag=abs(Ω_obs)/abs(Ω_pred)｜LAGEOS (2004),\ref{sec:p4:part-i-s7} / \ref{sec:p4:eht-s9},1
25,回転（フレームドラッグ）,純スカラー極限（回転項なし）棄却ゲート,,回転（フレームドラッグ）｜純スカラー極限（回転項なし）棄却ゲート,\ref{sec:p4:part-i-s7} / \ref{sec:p4:eht-s9},1
26,重力波（偏光モード）,ベクトル横波 vs スカラー縮退（H1/L1/V1）,,重力波（偏光モード）｜ベクトル横波 vs スカラー縮退（H1/L1/V1）,\ref{sec:p4:eht-s9},1
27,背景計量（caseB）,ベクトル拡張の計量選択ゲート,,背景計量（caseB）｜ベクトル拡張の計量選択ゲート,\ref{sec:p4:eht-s9},1
28,背景計量（caseA）,ベクトル拡張の計量選択ゲート,,背景計量（caseA）｜ベクトル拡張の計量選択ゲート,\ref{sec:p4:eht-s9},1
29,EHT（ブラックホール影）,リング直径（M87*）,,EHT（ブラックホール影）｜リング直径（M87*）,\ref{sec:p4:eht-s9},1
